	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
37	MJ21_1.1000_balanced.cool	all	37000	0.001146781067148326	256	1.0
38	MJ21_1.1000_balanced.cool	all	38000	0.0016389426063603695	244	1.0
39	MJ21_1.1000_balanced.cool	all	39000	0.0020231051999157618	234	1.0
40	MJ21_1.1000_balanced.cool	all	40000	0.0018320599051322147	225	1.0
41	MJ21_1.1000_balanced.cool	all	41000	0.0011629480033314235	216	1.0
42	MJ21_1.1000_balanced.cool	all	42000	0.0005907660621032078	207	1.0
43	MJ21_1.1000_balanced.cool	all	43000	0.0009040220599189076	201	1.0
44	MJ21_1.1000_balanced.cool	all	44000	0.000603223778170953	196	1.0
45	MJ21_1.1000_balanced.cool	all	45000	0.0018758218544655976	192	1.0
46	MJ21_1.1000_balanced.cool	all	46000	0.0008823455882320535	188	1.0
47	MJ21_1.1000_balanced.cool	all	47000	0.001481217956803537	184	1.0
48	MJ21_1.1000_balanced.cool	all	48000	0.001607712712710751	180	1.0
49	MJ21_1.1000_balanced.cool	all	49000	0.0012038544750901479	176	1.0
50	MJ21_1.1000_balanced.cool	all	50000	0.0012077304309576228	172	1.0
51	MJ21_1.1000_balanced.cool	all	51000	0.0008587130120734606	168	1.0
52	MJ21_1.1000_balanced.cool	all	52000	0.0019658490735480908	164	1.0
53	MJ21_1.1000_balanced.cool	all	53000	0.0015420029864941808	160	1.0
54	MJ21_1.1000_balanced.cool	all	54000	0.0009204218172906899	156	1.0
55	MJ21_1.1000_balanced.cool	all	55000	0.001529171101231102	152	1.0
56	MJ21_1.1000_balanced.cool	all	56000	0.00041495422021351847	148	1.0
57	MJ21_1.1000_balanced.cool	all	57000	0.0003411575185616148	144	1.0
58	MJ21_1.1000_balanced.cool	all	58000	0.0004129128245855526	140	1.0
59	MJ21_1.1000_balanced.cool	all	60000	0.0023718166912384984	132	1.0
60	MJ21_1.1000_balanced.cool	all	61000	0.0026076208961846392	128	1.0
61	MJ21_1.1000_balanced.cool	all	62000	0.0020045586856643955	124	1.0
62	MJ21_1.1000_balanced.cool	all	63000	0.00042277991935126165	120	1.0
63	MJ21_1.1000_balanced.cool	all	64000	0.001696725370585533	116	1.0
64	MJ21_1.1000_balanced.cool	all	65000	0.0011533269259873902	112	1.0
65	MJ21_1.1000_balanced.cool	all	66000	0.0004724016135929275	108	1.0
66	MJ21_1.1000_balanced.cool	all	68000	0.0003977940048239914	100	1.0
67	MJ21_1.1000_balanced.cool	all	69000	0.001725435670817118	96	1.0
68	MJ21_1.1000_balanced.cool	all	70000	0.0006033394472042535	92	1.0
69	MJ21_1.1000_balanced.cool	all	71000	0.0009845848490796971	88	1.0
70	MJ21_1.1000_balanced.cool	all	72000	0.002356927363723773	84	1.0
71	MJ21_1.1000_balanced.cool	all	73000	0.0015542603993399916	80	1.0
72	MJ21_1.1000_balanced.cool	all	74000	0.0007250043557474298	76	1.0
73	MJ21_1.1000_balanced.cool	all	77000	0.0005274956689494706	64	1.0
74	MJ21_1.1000_balanced.cool	all	78000	0.0017398824152904423	60	1.0
75	MJ21_1.1000_balanced.cool	all	81000	0.0012259134161023279	48	1.0
76	MJ21_1.1000_balanced.cool	all	82000	0.0011952151972651085	44	1.0
77	MJ21_1.1000_balanced.cool	all	84000	0.004280525720198054	38	1.0
78	MJ21_1.1000_balanced.cool	all	85000	0.0033364391612900265	35	1.0
79	MJ21_1.1000_balanced.cool	all	86000	0.002397755823570649	32	1.0
80	MJ21_1.1000_balanced.cool	all	88000	0.0018401837894255009	26	1.0
